110000,5
110004,5
110008,5
110012,4.9
110016,5.05
110020,5.1
110024,5.2
110028,5.15
110032,5.15
110036,5.15
110040,5.15
110044,5.05
110048,5
110052,5
110056,5
110100,5
110104,5
110108,5
110112,5
110116,4.9
110120,4.9
110124,4.9
110128,4.95
110132,4.95
110136,5
110140,4.95
110144,4.95
110148,4.9
110152,5
110156,5
110200,5
110204,5
110208,5.1
110212,5.1
110216,4.8
110220,5.1
110224,5
110228,5
110232,5
110236,5
110240,5
110244,5
110248,5
110252,5
110256,5
110300,5
110304,5
110308,5.1
110312,5.1
110316,5.1
110320,4.95
110324,4.95
110328,5.1
110332,5.1
110336,5
110340,5
110344,5
110348,5
110352,5.15
110356,5.15
110400,5.2
110404,5.15
110408,5.15
110412,5.2
110416,5.15
110420,5.05
110424,5.05
110428,5
110432,5
110436,5
110440,5
110444,5
110448,4.95
110452,4.95
110456,4.8
110500,4.7
110504,4.9
110508,5
110512,5
110516,5
110520,4.9
110524,5
110528,5
110532,5
110536,4.9
110540,4.9
110544,4.85
110548,4.9
110552,4.9
110556,5
110600,5
110604,5
110608,5
110612,5
110616,5
110620,5
110624,5
110628,4.95
110632,4.95
110636,4.95
110640,5.2
110644,4.9
110648,4.9
110652,4.95
110656,4.95
110700,4.95
110704,5
110708,5
110712,5.1
110716,5.1
110720,5.1
110724,5
110728,5
110732,5
110736,5
110740,4.85
110744,4.85
110748,4.9
110752,4.9
110756,5
110800,5
110804,4.9
110808,5.1
110812,5.05
110816,5.2
110820,5.35
110824,5.35
110828,5.15
110832,5.15
110836,5.1
110840,5.1
110844,5.1
110848,5
110852,5.1
110856,5.1
110900,5.05
110904,5.05
110908,5.05
110912,5
110916,5
110920,5
110924,4.85
110928,4.85
110932,5.15
110936,5.05
110940,5
110944,5
110948,5
110952,5
110956,5
